question_id,question,reference,context,our_answer_wo_context,our_answer_w_context,is_correct_wo_context,is_correct_w_context
4hop2__161602_474028_88460_21063,There exists a country A that forms a boundary between the host of the 2020 AFC U-23 Championship and the country containing the village of A Don. What is the business that began trading stocks in the winter of 2014 in country A?,Yangon Stock Exchange Joint Venture Co. Ltd,"A Don is a village in south-eastern Laos near the border with Vietnam. It is located in Kaleum District in Sekong Province.
Myanmar (also known as Burma) is the northwestern-most country of mainland Southeast Asia, bordering China, India, Bangladesh, Thailand and Laos. It lies along the Indian and Eurasian Plates, to the southeast of the Himalayas. To its west is the Bay of Bengal and to its south is the Andaman Sea. It is strategically located near major Indian Ocean shipping lanes.
Of the 47 AFC member associations, a total of 44 teams entered the competition. The final tournament hosts Thailand decided to participate in qualification despite having automatically qualified for the final tournament.
In December 2014, Myanmar signed an agreement to set up its first stock exchange. The Yangon Stock Exchange Joint Venture Co. Ltd will be set up with Myanma Economic Bank sharing 51 percent, Japan's Daiwa Institute of Research Ltd 30.25 percent and Japan Exchange Group 18.75 percent. The Yangon Stock Exchange (YSX) officially opened for business on Friday, March 25, 2016. First Myanmar Investment Co., Ltd. (FMI) became the first stock to be traded after receiving approval for an opening price of 26,000 kyats ($22).","I couldn't find any information about a country A, the 2020 AFC U",Myanmar.,0,0
2hop__29893_29898,Which affiliate left the company that owns and operates most of the CBC television stations due to an agreement with CHBC?,CFJC-TV in Kamloops,"Private CBC affiliates are not as common as they were in the past, as many such stations have been purchased either by the CBC itself or by Canwest Global or CHUM Limited, respectively becoming E! or A-Channel (later A, now CTV Two) stations. One private CBC affiliate, CHBC-TV in Kelowna, joined E! (then known as CH) on February 27, 2006. When a private CBC affiliate reaffiliates with another network, the CBC has normally added a retransmitter of its nearest O&O station to ensure that CBC service is continued. However, due to an agreement between CHBC and CFJC-TV in Kamloops, CFJC also disaffiliated from the CBC on February 27, 2006, but no retransmitters were installed in the licence area. Former private CBC affiliates CKPG-TV Prince George and CHAT-TV Medicine Hat disaffiliated on August 31, 2008 and joined E!, but the CBC announced it will not add new retransmitters to these areas. Incidentally, CFJC, CKPG and CHAT are all owned by an independent media company, Jim Pattison Group. With the closure of E! and other changes in the media landscape, several former CBC affiliates have since joined City or Global, or closed altogether.
Most CBC television stations, including those in the major cities, are owned and operated by the CBC itself. CBC O&O stations operate as a mostly seamless national service with few deviations from the main network schedule, although there are some regional differences from time to time. For on-air identification, most CBC stations use the CBC brand rather than their call letters, not identifying themselves specifically until sign-on or sign-off (though some, like Toronto's CBLT, do not ID themselves at all except through PSIP). All CBC O&O stations have a standard call letter naming convention, in that the first two letters are ""CB"" (an ITU prefix allocated not to Canada, but to Chile) and the last letter is ""T"". Only the third letter varies from market to market; however, that letter is typically the same as the third letter of the CBC Radio One and CBC Radio 2 stations in the same market. An exception to this rule are the CBC North stations in Yellowknife, Whitehorse and Iqaluit, whose call signs begin with ""CF"" due to their historic association with the CBC's Frontier Coverage Package prior to the advent of microwave and satellite broadcasting.",CTV,CFJC-TV.,0,1
4hop1__72247_497223_15840_36014,There is a video game named after the sports association that chooses where the super bowl is held. What was Nintendo's limit on games per developer per year on that game's platform?,five,"NFL is a 1989 football video game, developed by Atlus and published by LJN exclusively for the Nintendo Entertainment System.
The Nintendo Entertainment System (also abbreviated as NES) is an 8-bit home video game console that was developed and manufactured by Nintendo. It was initially released in Japan as the Family Computer (Japanese: ファミリーコンピュータ, Hepburn: Famirī Konpyūta?) (also known by the portmanteau abbreviation Famicom (ファミコン, Famikon?) and abbreviated as FC) on July 15, 1983, and was later released in North America during 1985, in Europe during 1986, and Australia in 1987. In South Korea, it was known as the Hyundai Comboy (현대 컴보이 Hyeondae Keomboi) and was distributed by SK Hynix which then was known as Hyundai Electronics. It was succeeded by the Super Nintendo Entertainment System.
The location of the Super Bowl is chosen by the NFL well in advance, usually three to five years before the game. Cities place bids to host a Super Bowl and are evaluated in terms of stadium renovation and their ability to host. In 2014, a document listing the specific requirements of Super Bowl hosts was leaked, giving a clear list of what was required for a Super Bowl host. Much of the cost of the Super Bowl is to be assumed by the host community, although some costs are enumerated within the requirements to be assumed by the NFL. Some of the host requirements include:
During the NES era, Nintendo maintained exclusive control over titles released for the system—the company had to approve every game, each third-party developer could only release up to five games per year (but some third parties got around this by using different names, for example Konami's ""Ultra Games"" brand), those games could not be released on another console within two years, and Nintendo was the exclusive manufacturer and supplier of NES cartridges. However, competition from Sega's console brought an end to this practice; in 1991, Acclaim began releasing games for both platforms, with most of Nintendo's other licensees following suit over the next several years; Capcom (which licensed some games to Sega instead of producing them directly) and Square were the most notable holdouts.",NFL Blitz,Three to five games.,0,1
3hop1__354480_834494_34088,Where do they hold NASCAR races in the city that is in the same county as the Eric Marcus Municipal Airport?,Tucson Raceway Park,"Tracks include Tucson Raceway Park and Rillito Downs. Tucson Raceway Park hosts NASCAR-sanctioned auto racing events and is one of only two asphalt short tracks in Arizona. Rillito Downs is an in-town destination on weekends in January and February each year. This historic track held the first organized quarter horse races in the world, and they are still racing there. The racetrack is threatened by development. The Moltacqua racetrack, was another historic horse racetrack located on what is now Sabino Canyon Road and Vactor Ranch Trail, but it no longer exists.
Eric Marcus Municipal Airport is a county-owned, public-use airport in Pima County, Arizona, United States. It is located north of the central business district of Ajo and is about southwest of Phoenix. The airport was renamed on February 11, 2006; it was formerly known as Ajo Municipal Airport.
Pima County Natural Resources, Parks and Recreation is the agency within Pima County, Arizona that manages the natural resources, parks, and recreation offerings within Pima County including Tucson, AZ.",I need more information. Can you please provide the name of the city and county with,Tucson Raceway Park.,0,1
4hop1__567737_141375_458768_33632,"What day is the feast held in the city containing the headquarters of the company, that owns the record label that released Study in Brown?",May 4,"The Right Stuff Records is a reissue record label that was part of EMI, which is now owned by Universal Music Group and is based out of Santa Monica, California.
EmArcy Records is a jazz record label founded in 1954 by Mercury Records, and today a European jazz label owned by Universal Music Group. The name is a phonetic spelling of ""MRC"", the initials for Mercury Record Company.
Santa Monica was long inhabited by the Tongva people. Santa Monica was called Kecheek in the Tongva language. The first non-indigenous group to set foot in the area was the party of explorer Gaspar de Portolà, who camped near the present day intersection of Barrington and Ohio Avenues on August 3, 1769. There are two different versions of the naming of the city. One says that it was named in honor of the feast day of Saint Monica (mother of Saint Augustine), but her feast day is actually May 4. Another version says that it was named by Juan Crespí on account of a pair of springs, the Kuruvungna Springs (Serra Springs), that were reminiscent of the tears that Saint Monica shed over her son's early impiety.
Study in Brown (EmArcy Records, 1955) is a Clifford Brown and Max Roach album. The album consists predominantly of originals by members of the band. The songs ""Lands End"", by tenor saxophonist Harold Land, and ""Sandu"", by Brown, have gone on to become jazz standards. The song ""George's Dilemma"" is also known as ""Ulcer Department"". Brown's solo on ""Cherokee"" is among the most acclaimed solos in jazz.",I don't have information about the company that owns the record label that released Study in,May 4.,0,1
4hop1__105002_17130_70784_61381,When was the region immediately north of the area where the country that released Atalia is located and the Persian Gulf established?,1932,"Israel (/ˈɪzreɪəl/ or /ˈɪzriːəl/; Hebrew: יִשְׂרָאֵל‎ Yisrā'el; Arabic: إِسْرَائِيل‎ Isrāʼīl), officially the State of Israel (Hebrew: מְדִינַת יִשְׂרָאֵל‎ Medīnat Yisrā'el [mediˈnat jisʁaˈʔel] ( listen); Arabic: دولة إِسْرَائِيل‎ Dawlat Isrāʼīl [dawlat ʔisraːˈʔiːl]), is a sovereign state in Western Asia. The country is situated in the Middle East at the southeastern shore of the Mediterranean Sea and the northern shore of the Gulf of Aqaba in the Red Sea. It shares land borders with Lebanon to the north, Syria in the northeast, Jordan on the east, the Palestinian territories (which are claimed by the State of Palestine and are partially controlled by Israel) comprising the West Bank and Gaza Strip to the east and west, respectively, and Egypt to the southwest. It contains geographically diverse features within its relatively small area. Israel's financial and technology center is Tel Aviv while Jerusalem is both the self-designated capital and most populous individual city under the country's governmental administration. Israeli sovereignty over Jerusalem is internationally unrecognized.[note 1]
The Kingdom of Saudi Arabia is a country situated in Southwest Asia, the largest country of Arabia, bordering the Persian Gulf and the Red Sea, north of Yemen. Its extensive coastlines on the Persian Gulf and Red Sea provide great leverage on shipping (especially crude oil) through the Persian Gulf and Suez Canal. The kingdom occupies 80% of the Arabian Peninsula. Most of the country's boundaries with the United Arab Emirates (UAE), Oman, and the Republic of Yemen (formerly two separate countries: the Yemen Arab Republic or North Yemen; and the People's Democratic Republic of Yemen or South Yemen) are undefined, so the exact size of the country remains unknown. The Saudi government estimate is at 2,217,949 square kilometres, while other reputable estimates vary between 2,149,690 and 2,240,000 sq. kilometres. Less than 1% of the total area is suitable for cultivation, and in the early 1990s, population distribution varied greatly among the towns of the eastern and western coastal areas, the densely populated interior oases, and the vast, almost empty deserts.
The area of modern - day Saudi Arabia formerly consisted of four distinct regions: Hejaz, Najd and parts of Eastern Arabia (Al - Ahsa) and Southern Arabia ('Asir). The Kingdom of Saudi Arabia was founded in 1932 by Ibn Saud. He united the four regions into a single state through a series of conquests beginning in 1902 with the capture of Riyadh, the ancestral home of his family, the House of Saud. Saudi Arabia has since been an absolute monarchy, effectively a hereditary dictatorship governed along Islamic lines. The ultraconservative Wahhabi religious movement within Sunni Islam has been called ``the predominant feature of Saudi culture '', with its global spread largely financed by the oil and gas trade. Saudi Arabia is sometimes called`` the Land of the Two Holy Mosques'' in reference to Al - Masjid al - Haram (in Mecca) and Al - Masjid an - Nabawi (in Medina), the two holiest places in Islam. As of 2013, the state had a total population of 28.7 million, of which 20 million were Saudi nationals and 8 million were foreigners. As of 2017, the population is 33 million. The state's official language is Arabic.
The original Athaliah was a Biblical queen of Judea, whom the Bible presents as a tyrannical usurper and idolater. Used, though not commonly, as a female first name in Israel, Atalia is a secularist name associated with the sector of Israeli society which tends to rebel against old traditions and conventions and seek new ways. This meaning is obvious to Israeli audiences, and clearly has some relevance to the film's themes.","I couldn't find any information about a country that released ""Atalia"".",I do not know.,0,0
2hop__129499_85379,When did the region where Poachie Range is located achieve U.S. statehood?,"February 14, 1912","State of Arizona Flag Seal Nickname (s): The Grand Canyon State; The Copper State Motto (s): Ditat Deus (God enriches) State song (s): ``The Arizona March Song ''and`` Arizona'' Official language English Spoken languages As of 2010 English 74.1% Spanish 19.5% Navajo 1.9% Other 4.5% Demonym Arizonan Capital Phoenix Largest city Phoenix Largest metro Phoenix metropolitan area Area Ranked 6th Total 113,990 sq mi (295,234 km) Width 310 miles (500 km) Length 400 miles (645 km)% water 0.35 Latitude 31 ° 20 ′ N to 37 ° N Longitude 109 ° 03 ′ W to 114 ° 49 ′ W Population Ranked 14th Total 6,931,071 (2016 est.) Density 57 / sq mi (22 / km) Ranked 33rd Median household income $52,248 (33rd) Elevation Highest point Humphreys Peak 12,637 ft (3852 m) Mean 4,100 ft (1250 m) Lowest point Colorado River at the Sonora border 72 ft (22 m) Before statehood Arizona Territory Admission to Union February 14, 1912 (48th) Governor Doug Ducey (R) Secretary of State Michele Reagan (R) Legislature Arizona Legislature Upper house Senate Lower house House of Representatives U.S. Senators John McCain (R) Jeff Flake (R) U.S. House delegation 5 Republicans, 4 Democrats (list) Time zones most of state Mountain: UTC − 7 (no DST) Navajo Nation Mountain: UTC − 7 / − 6 ISO 3166 US - AZ Abbreviations AZ, Ariz. Website www.az.gov
The Poachie Range is a moderate length mountain range and massif in southeast Mohave County, Arizona, and the extreme southwest corner of Yavapai County; the range also abuts the northeast corner of La Paz County. The Poachie Range massif is bordered by the south-flowing Big Sandy River on its west, and the west-flowing Santa Maria River on its south; both rivers converge at the Poachie Range's southwest at Alamo Lake, the Alamo Lake State Park.","I couldn't find any information on ""Poachie Range.""","February 14, 1912.",0,1
4hop1__342858_131850_33897_81096,Who won the Indy Car Race in the largest populated city of the state where Yuma's Library District is located?,Mario Andretti,"Tucson (/ˈtuːsɒn/ /tuːˈsɒn/) is a city and the county seat of Pima County, Arizona, United States, and home to the University of Arizona. The 2010 United States Census put the population at 520,116, while the 2013 estimated population of the entire Tucson metropolitan statistical area (MSA) was 996,544. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA), with a total population of 980,263 as of the 2010 Census. Tucson is the second-largest populated city in Arizona behind Phoenix, both of which anchor the Arizona Sun Corridor. The city is  located 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.-Mexico border. Tucson is the 33rd largest city and the 59th largest metropolitan area in the United States. Roughly 150 Tucson companies are involved in the design and manufacture of optics and optoelectronics systems, earning Tucson the nickname Optics Valley.
The City of Yuma is a Home Rule Municipality that is the most populous city in Yuma County, Colorado, United States. The population was 3,524 at the 2010 census.
The Yuma County Library District serves the population of Yuma County, Arizona. Today the library district consists of the nearly 80,000 square foot Main Library located in Yuma as well as branches in downtown Yuma, the Foothills, Somerton, San Luis, Wellton, Dateland, and Roll. The first Yuma Library, a Carnegie library, opened February 24, 1921 with 1,053 volumes and seating for 20 persons. Located in Sunset Park, the Yuma Carnegie Library underwent several expansions and renovations over the years, including a $4.2 million renovation completed in 2009. The Yuma Carnegie library still operates today as the Heritage Branch Library in downtown Yuma.
After a hiatus of eleven years, the race was revived by the Verizon IndyCar Series in 2016. It was held on Saturday night under the lights. Long considered a popular Indy car track, Phoenix has a rich history of open wheel races, including a spectacular crash involving Johnny Rutherford (1980), and the final career victory for Indy legend Mario Andretti (1993).",I couldn't find any information about Yuma's Library District.,I do not know.,0,0
4hop1__33012_53706_795904_580996,What city shares a border with the place where the person who went to the state known for its Mediterranean climate during the gold rush worked?,Rio Linda,"Due to its large size and wide range of geographic features, the United States contains examples of nearly every global climate. The climate is temperate in most areas, subtropical in the Southern United States, tropical in Hawaii and southern Florida, polar in Alaska, semiarid in the Great Plains west of the 100th meridian, Mediterranean in coastal California and arid in the Great Basin. Its comparatively favorable agricultural climate contributed (in part) to the country's rise as a world power, with infrequent severe drought in the major agricultural regions, a general lack of widespread flooding, and a mainly temperate climate that receives adequate precipitation.
Rio Linda High School is a high school located in Rio Linda, Sacramento, CA. It has an enrollment of 2,035 students. It is part of the Twin Rivers Unified School District, and was formerly part of the Grant Unified School District.
Rumors of the discovery of gold were confirmed in March 1848 by San Francisco newspaper publisher and merchant Samuel Brannan. Brannan hurriedly set up a store to sell gold prospecting supplies, and walked through the streets of San Francisco, holding aloft a vial of gold, shouting ``Gold! Gold! Gold from the American River! ''
The history of Sacramento, California, began with its founding by Samuel Brannan and John Augustus Sutter, Jr. in 1848 around an embarcadero that his father, John Sutter, Sr. constructed at the confluence of the American and Sacramento Rivers a few years prior.",What city shares a border with the place where the person who went to the state known,Rio Linda.,0,1
3hop2__132957_132798_40768,"When did the make of Acura Legend, the company that made toyopet Master and Nissan open US assembly plants?",1981,"The Toyopet Master, introduced in January 1955, is a passenger car that was an update to the SF/RH model with a modernized body. As for its predecessor, it has a ladder frame with leaf sprung front and rear axles. The Toyopet Master was an evolution of an earlier Toyota sedan called the Toyota SF/RH model (also known as the Super), and was sold in parallel with the first Toyota Crown. The more conservative Master was introduced as a frugally equipped version meant for taxi usage. The Master and Crown shared the same R-series engine, which produces in the Master. It was sold at a chain of Toyota Japan dealerships called ""Toyota Store"", next to the more upscale Crown, which was intended as a private purchase alternative to the Master.
The Acura Legend is a mid-size luxury/executive car manufactured by Honda. It was sold in the U.S., Canada, and parts of China under Honda's luxury brand, Acura, from 1985 to 1995, as both a sedan, which was classified as a full-size car, and a coupe, which was classified as a mid-size car (similar to how the Honda Accord is set up today). It was the first flagship sedan sold under the Acura nameplate, until being renamed in 1996 as the Acura 3.5RL. The 3.5RL was the North American version of the KA9 series Honda Legend.
Some buyers lamented the small size of the first Japanese compacts, and both Toyota and Nissan (then known as Datsun) introduced larger cars such as the Toyota Corona Mark II, the Toyota Cressida, the Mazda 616 and Datsun 810, which added passenger space and amenities such as air conditioning, power steering, AM-FM radios, and even power windows and central locking without increasing the price of the vehicle. A decade after the 1973 oil crisis, Honda, Toyota and Nissan, affected by the 1981 voluntary export restraints, opened US assembly plants and established their luxury divisions (Acura, Lexus and Infiniti, respectively) to distinguish themselves from their mass-market brands.","Acura Legend: 1986
Toyota Master: 1986
Nissan",1981.,0,1
