question,context,our_answer_wo_context,our_answer_w_context
What allows extensive vegitation to occur?,"The climate of Antarctica does not allow extensive vegetation to form. A combination of freezing temperatures, poor soil quality, lack of moisture, and lack of sunlight inhibit plant growth. As a result, the diversity of plant life is very low and limited in distribution. The flora of the continent largely consists of bryophytes. There are about 100 species of mosses and 25 species of liverworts, but only three species of flowering plants, all of which are found in the Antarctic Peninsula: Deschampsia antarctica (Antarctic hair grass), Colobanthus quitensis (Antarctic pearlwort) and the non-native Poa annua (annual bluegrass). Growth is restricted to a few weeks in the summer.","Adequate rainfall, sunlight, and nutrients.",Warm temperatures.
"How has ""Process and Reality"" been rejected?","Wieman's words proved prophetic. Though Process and Reality has been called ""arguably the most impressive single metaphysical text of the twentieth century,"" it has been little-read and little-understood, partly because it demands – as Isabelle Stengers puts it – ""that its readers accept the adventure of the questions that will separate them from every consensus."" Whitehead questioned western philosophy's most dearly held assumptions about how the universe works, but in doing so he managed to anticipate a number of 21st century scientific and philosophical problems and provide novel solutions.","""Process and Reality"" by Alfred North Whitehead was rejected by:

- Bertrand Russell (1929)
- Ludwig Wittgenstein (1929)",It has been little-read.
What came into use in the 1800's?,"The term prime minister in the sense that we know it originated in the 18th century in the United Kingdom when members of parliament disparagingly used the title in reference to Sir Robert Walpole. Over time, the title became honorific and remains so in the 21st century.",What would you like to know about the 1800s?,Nothing is mentioned.
What board refused to see Sanskrit as an alternative option?,"The CBSE (Central Board of Secondary Education) of India, along with several other state education boards, has made Sanskrit an alternative option to the state's own official language as a second or third language choice in the schools it governs. In such schools, learning Sanskrit is an option for grades 5 to 8 (Classes V to VIII). This is true of most schools affiliated with the ICSE board, especially in those states where the official language is Hindi. Sanskrit is also taught in traditional gurukulas throughout India.",I couldn't find any information about a specific board refusing to see Sanskrit as an alternative option.,I do not know.
Where did Anne Catherine Emmerich live?,"In the 19th century, a house near Ephesus in Turkey was found, based on the visions of Anne Catherine Emmerich, an Augustinian nun in Germany. It has since been visited as the House of the Virgin Mary by Roman Catholic pilgrims who consider it the place where Mary lived until her assumption. The Gospel of John states that Mary went to live with the Disciple whom Jesus loved,[Jn 19:27] identified as John the Evangelist.[citation needed] Irenaeus and Eusebius of Caesarea wrote in their histories that John later went to Ephesus, which may provide the basis for the early belief that Mary also lived in Ephesus with John.","Bonn, Germany",Germany.
"After the 1940's and 1950's Opium War, what became a major treaty port?","Hokkien originated from Quanzhou. After the Opium War in 1842, Xiamen (Amoy) became one of the major treaty ports to be opened for trade with the outside world. From mid-19th century onwards, Xiamen slowly developed to become the political and economical center of the Hokkien-speaking region in China. This caused Amoy dialect to gradually replace the position of dialect variants from Quanzhou and Zhangzhou. From mid-19th century until the end of World War II, western diplomats usually learned Amoy Hokkien as the preferred dialect if they were to communicate with the Hokkien-speaking populace in China or South-East Asia. In the 1940s and 1950s, Taiwan also held Amoy Hokkien as its standard and tended to incline itself towards Amoy dialect.",Hong Kong,Xiamen (Amoy).
Where does The Fund work to lower awareness and decrease support?,"The Fund raises awareness of and supports efforts to meet these needs in developing countries, advocates close attention to population concerns, and helps developing nations formulate policies and strategies in support of sustainable development. Dr. Osotimehin assumed leadership in January 2011. The Fund is also represented by UNFPA Goodwill Ambassadors and a Patron.","I don't have information about ""The Fund"". Could you provide more context or details?",I do not know.
What dramatically changed naval combat in World War I?,"The aircraft carrier dramatically changed naval combat in World War II, because air power was becoming a significant factor in warfare. The advent of aircraft as focal weapons was driven by the superior range, flexibility and effectiveness of carrier-launched aircraft. They had higher range and precision than naval guns, making them highly effective. The versatility of the carrier was demonstrated in November 1940 when HMS Illustrious launched a long-range strike on the Italian fleet at their base in Taranto, signalling the beginning of the effective and highly mobile aircraft strikes. This operation incapacitated three of the six battleships at a cost of two torpedo bombers. World War II in the Pacific Ocean involved clashes between aircraft carrier fleets. The 1941 Japanese surprise attack on Pearl Harbor was a clear illustration of the power projection capability afforded by a large force of modern carriers. Concentrating six carriers in a single unit turned naval history about, as no other nation had fielded anything comparable. However, the vulnerability of carriers compared to traditional battleships when forced into a gun-range encounter was quickly illustrated by the sinking of HMS Glorious by German battleships during the Norwegian campaign in 1940.",Submarine warfare.,I do not know.
Who is a professor of English at Stanford University?,"Mark Z. Jacobson, professor of civil and environmental engineering at Stanford University and director of its Atmosphere and Energy Program says producing all new energy with wind power, solar power, and hydropower by 2030 is feasible and existing energy supply arrangements could be replaced by 2050. Barriers to implementing the renewable energy plan are seen to be ""primarily social and political, not technological or economic"". Jacobson says that energy costs with a wind, solar, water system should be similar to today's energy costs.",I can't provide a list of professors at Stanford University.,I do not know.
 When were the last recorded Islamic elementary schools?,"In the medieval Islamic world, an elementary school was known as a maktab, which dates back to at least the 10th century. Like madaris (which referred to higher education), a maktab was often attached to an endowed mosque. In the 11th century, the famous Persian Islamic philosopher and teacher Ibn Sīnā (known as Avicenna in the West), in one of his books, wrote a chapter about the maktab entitled ""The Role of the Teacher in the Training and Upbringing of Children,"" as a guide to teachers working at maktab schools. He wrote that children can learn better if taught in classes instead of individual tuition from private tutors, and he gave a number of reasons for why this is the case, citing the value of competition and emulation among pupils, as well as the usefulness of group discussions and debates. Ibn Sīnā described the curriculum of a maktab school in some detail, describing the curricula for two stages of education in a maktab school.",I can't verify the last recorded Islamic elementary schools.,I do not know.
Who created the character repertoire for IOS/IEC 10646?,"Unicode is developed in conjunction with the International Organization for Standardization and shares the character repertoire with ISO/IEC 10646: the Universal Character Set. Unicode and ISO/IEC 10646 function equivalently as character encodings, but The Unicode Standard contains much more information for implementers, covering—in depth—topics such as bitwise encoding, collation and rendering. The Unicode Standard enumerates a multitude of character properties, including those needed for supporting bidirectional text. The two standards do use slightly different terminology.",ISO/IEC 10646 character repertoire created by ISO/IEC JTC1 SC 18/WG 1.,I do not know.
"When was Jesse Saunders' ""House Music"" a hit?","Starting in 1984, some of these DJs, inspired by Jesse Saunders' success with ""On and On"", tried their hand at producing and releasing original compositions. These compositions used newly affordable electronic instruments to emulate not just Saunders' song, but the edited, enhanced styles of disco and other dance music they already favored. These homegrown productions were played on Chicago-area radio and in local discothèques catering mainly to African-American and gay audiences. By 1985, although the exact origins of the term are debated, ""house music"" encompassed these locally produced recordings. Subgenres of house, including deep house and acid house, quickly emerged and gained traction.","""House Music"" by Jesse Saunders, 1987.",1984
Who proposed a special conference to bring all right-wing organisations together?,"In 1899, a Doncaster member of the Amalgamated Society of Railway Servants, Thomas R. Steels, proposed in his union branch that the Trade Union Congress call a special conference to bring together all left-wing organisations and form them into a single body that would sponsor Parliamentary candidates. The motion was passed at all stages by the TUC, and the proposed conference was held at the Memorial Hall on Farringdon Street on 26 and 27 February 1900. The meeting was attended by a broad spectrum of working-class and left-wing organisations — trades unions represented about one third of the membership of the TUC delegates.",I couldn't find any information on a specific person proposing a special conference to bring all right-wing organisations together.,I do not know.
What was first recorded in the 26th century BC.,"The earliest recorded Western philosophy of time was expounded by the ancient Egyptian thinker Ptahhotep (c. 2650–2600 BC), who said, ""Do not lessen the time of following desire, for the wasting of time is an abomination to the spirit."" The Vedas, the earliest texts on Indian philosophy and Hindu philosophy, dating back to the late 2nd millennium BC, describe ancient Hindu cosmology, in which the universe goes through repeated cycles of creation, destruction, and rebirth, with each cycle lasting 4,320,000 years. Ancient Greek philosophers, including Parmenides and Heraclitus, wrote essays on the nature of time.","The earliest recorded king of Sumer: Sargon the Great, circa 2334 BC.",Ptahhotep.
What was started by people interested in national punk influenced music?,"During the initial punk era, a variety of entrepreneurs interested in local punk-influenced music scenes began founding independent record labels, including Rough Trade (founded by record shop owner Geoff Travis) and Factory (founded by Manchester-based television personality Tony Wilson). By 1977, groups began pointedly pursuing methods of releasing music independently , an idea disseminated in particular by the Buzzcocks' release of their Spiral Scratch EP on their own label as well as the self-released 1977 singles of Desperate Bicycles. These DIY imperatives would help form the production and distribution infrastructure of post-punk and the indie music scene that later blossomed in the mid-1980s.",Rise Above Records,Independent record labels.
What was founded in 1902?,"The Communist Party of China, founded in 1920, adopted the red flag and hammer and sickle emblem of the Soviet Union, which became the national symbols when the Party took power in China in 1949. Under Party leader Mao Zedong, the Party anthem became ""The East Is Red"", and Mao Zedong himself was sometimes referred to as a ""red sun"". During the Cultural Revolution in China, Party ideology was enforced by the Red Guards, and the sayings of Mao Zedong were published as a small red book in hundreds of millions of copies. Today the Communist Party of China claims to be the largest political party in the world, with eighty million members.",What was founded in 1902?,I do not know.
Who asserts that they will respond to direct contracts requesting material be removed from Web sites?,"The Internet Archive states, however, ""Sometimes a website owner will contact us directly and ask us to stop crawling or archiving a site. We comply with these requests."" In addition, the web site says: ""The Internet Archive is not interested in preserving or offering access to Web sites or other Internet documents of persons who do not want their materials in the collection.""",DMCA (Digital Millennium Copyright Act),The Internet Archive.
What forms were snow and ice accumulation is equal to its melting,"Glaciers form where the accumulation of snow and ice exceeds ablation. The area in which a glacier forms is called a cirque (corrie or cwm) - a typically armchair-shaped geological feature (such as a depression between mountains enclosed by arêtes) - which collects and compresses through gravity the snow which falls into it. This snow collects and is compacted by the weight of the snow falling above it forming névé. Further crushing of the individual snowflakes and squeezing the air from the snow turns it into 'glacial ice'. This glacial ice will fill the cirque until it 'overflows' through a geological weakness or vacancy, such as the gap between two mountains. When the mass of snow and ice is sufficiently thick, it begins to move due to a combination of surface slope, gravity and pressure. On steeper slopes, this can occur with as little as 15 m (50 ft) of snow-ice.","Equilibrium forms: 

1. Nucleus
2. Ice crystal
3. Snowflake",Nothing.
What do some voters not always agree with?,"In brief, there is disagreement among historical analysts as to the exact time period when the minority leadership emerged officially as a party position. Nonetheless, it seems safe to conclude that the position emerged during the latter part of the 19th century, a period of strong party organization and professional politicians. This era was ""marked by strong partisan attachments, resilient patronage-based party organizations, and...high levels of party voting in Congress."" Plainly, these were conditions conducive to the establishment of a more highly differentiated House leadership structure.","Some voters may not agree with:

- Gun control laws
- Climate change policies
- Immigration reform
- Abortion laws
- Taxation policies
- Social security changes
- Healthcare reform
- Election results",Party positions.
What widely adopted solution did Unicode provide?,"In terms of the newline, Unicode introduced U+2028 LINE SEPARATOR and U+2029 PARAGRAPH SEPARATOR. This was an attempt to provide a Unicode solution to encoding paragraphs and lines semantically, potentially replacing all of the various platform solutions. In doing so, Unicode does provide a way around the historical platform dependent solutions. Nonetheless, few if any Unicode solutions have adopted these Unicode line and paragraph separators as the sole canonical line ending characters. However, a common approach to solving this issue is through newline normalization. This is achieved with the Cocoa text system in Mac OS X and also with W3C XML and HTML recommendations. In this approach every possible newline character is converted internally to a common newline (which one does not really matter since it is an internal operation just for rendering). In other words, the text system can correctly treat the character as a newline, regardless of the input's actual encoding.",Standardization of characters.,Unicode provided a solution for encoding paragraphs and lines semantically.
What does not reduce filament evaporation?,"While inert gas reduces filament evaporation, it also conducts heat from the filament, thereby cooling the filament and reducing efficiency. At constant pressure and temperature, the thermal conductivity of a gas depends upon the molecular weight of the gas and the cross sectional area of the gas molecules. Higher molecular weight gasses have lower thermal conductivity, because both the molecular weight is higher and also the cross sectional area is higher. Xenon gas improves efficiency because of its high molecular weight, but is also more expensive, so its use is limited to smaller lamps.",High temperature.,Inert gas.
What did German scientists find in Eritrea?,"At Buya in Eritrea, one of the oldest hominids representing a possible link between Homo erectus and an archaic Homo sapiens was found by Italian scientists. Dated to over 1 million years old, it is the oldest skeletal find of its kind and provides a link between hominids and the earliest anatomically modern humans. It is believed that the section of the Danakil Depression in Eritrea was also a major player in terms of human evolution, and may contain other traces of evolution from Homo erectus hominids to anatomically modern humans.",I couldn't find any information about German scientists finding something in Eritrea.,I do not know.
What two roads connect Utrecht to the rest of Europe?,"Utrecht is well-connected to the Dutch road network. Two of the most important major roads serve the city of Utrecht: the A12 and A2 motorways connect Amsterdam, Arnhem, The Hague and Maastricht, as well as Belgium and Germany. Other major motorways in the area are the Almere–Breda A27 and the Utrecht–Groningen A28. Due to the increasing traffic and the ancient city plan, traffic congestion is a common phenomenon in and around Utrecht, causing elevated levels of air pollutants. This has led to a passionate debate in the city about the best way to improve the city's air quality.","A1, A2, E35, E45",A12 and A2.
In Scotland what word is mainly used instead of university?,"Colloquially, the term university may be used to describe a phase in one's life: ""When I was at university..."" (in the United States and Ireland, college is often used instead: ""When I was in college...""). In Australia, Canada, New Zealand, the United Kingdom, Nigeria, the Netherlands, Spain and the German-speaking countries university is often contracted to uni. In Ghana, New Zealand and in South Africa it is sometimes called ""varsity"" (although this has become uncommon in New Zealand in recent years). ""Varsity"" was also common usage in the UK in the 19th century.[citation needed] ""Varsity"" is still in common usage in Scotland.","""University"" is ""uni""",Varsity
What species is found ranging from Canada to Utah?,"One species in particular received widespread attention—the whooping crane. The species' historical range extended from central Canada South to Mexico, and from Utah to the Atlantic coast. Unregulated hunting and habitat loss contributed to a steady decline in the whooping crane population until, by 1890, it had disappeared from its primary breeding range in the north central United States. It would be another eight years before the first national law regulating wildlife commerce was signed, and another two years before the first version of the endangered species act was passed. The whooping crane population by 1941 was estimated at about only 16 birds still in the wild.",Bighorn Sheep,Whooping crane.
Why would someone use a bipolar transistor instead of a field-effect transistor?,"There are two types of transistors, which have slight differences in how they are used in a circuit. A bipolar transistor has terminals labeled base, collector, and emitter. A small current at the base terminal (that is, flowing between the base and the emitter) can control or switch a much larger current between the collector and emitter terminals. For a field-effect transistor, the terminals are labeled gate, source, and drain, and a voltage at the gate can control a current between source and drain.",Lower power consumption.,Higher current control.
The concept of matter has not changed for what reason?,"The concept of matter has changed in response to new scientific discoveries. Thus materialism has no definite content independent of the particular theory of matter on which it is based. According to Noam Chomsky, any property can be considered material, if one defines matter such that it has that property.",Scientific consensus.,New scientific discoveries.
