question,golden_answer,context,our_answer_wo_context,our_answer_w_context
Muscat is the capital of which country?,سلطنة عُمان; ʕumān; Sport in Oman; 0man; Oman; Omani; عُمان; ʻUmān; ISO 3166-1:OM; OMN; Salṭanat ʻUmān; Umman; 'Oman; OMAN; Omani Sultanate; Religion in Oman; Languages of Oman; Sports in Oman; Sultanate of Oman; %60Umān; Name of Oman,"to the 2003 census conducted by the Oman Ministry of National Economy, the population of Muscat is over 630,000, which included 370,000 males and 260,000 females. Muscat formed the second largest governorate in the country, after Al Batinah, accounting for 27% of the total population of Oman. As of 2003, Omanis constituted 60% of the total population of Muscat, while expatriates accounted for about 40%. The population density of the city was 162.1 per km. The governorate of Muscat comprises six ""wilayats"": Muttrah, Bawshar, Seeb, Al Amrat, Muscat and Qurayyat. Of the ""wilayats"", Seeb, located in the western section of",Oman.,Oman.
"Smithsonite is a carbonate of zinc, by what name is it commonly known?",Caladryl; Calamine Lotion; Calamine lotion; Chalomine lotion; Calamine; Calomine,"Smithsonite Smithsonite, or zinc spar, is zinc carbonate (ZnCO), a mineral ore of zinc. Historically, smithsonite was identified with hemimorphite before it was realised that they were two distinct minerals. The two minerals are very similar in appearance and the term calamine has been used for both, leading to some confusion. The distinct mineral smithsonite was named in 1832 by François Sulpice Beudant in honor of English chemist and mineralogist James Smithson (c.1765–1829), whose bequest established the Smithsonian Institution and who first identified the mineral in 1802. Smithsonite is a variably colored trigonal mineral which only rarely is found in",Azurite,Zinc spar.
The (now largely obsolete) proofreading mark of a horizontal line above and below a passage of text gives instruction to correct?,Horizontal alignment,"writing. With the proliferation of horizontal text, both horizontal and vertical came to be used concurrently. Proponents of horizontal text argued that vertical text in right-to-left columns was smudged easily when written, and moreover demanded greater movement from the eyes when read. Vertical text proponents considered horizontal text to be a break from established tradition. After the success of the communist revolution in 1949, the People's Republic of China decided to use horizontal writing. All newspapers in China changed from vertical to horizontal alignment on January 1, 1956. In publications, text is run horizontally although book titles on spines and",Overline,A horizontal line above and below a passage of text indicates a correction.
Name Shirley MacLaine's actor brother.,Warren Beatty; Warren Beaty; Warren Beatty filmography,"five competitive Golden Globe Awards, and received the Golden Globe Cecil B. DeMille Award at the 1998 ceremony. Named after actress Shirley Temple (who was six years old at the time), Shirley MacLean Beaty was born on April 24, 1934, in Richmond, Virginia. Her father, Ira Owens Beaty, was a professor of psychology, public school administrator, and real estate agent, and her mother, Kathlyn Corinne (née MacLean), was a drama teacher, originally from Wolfville, Nova Scotia, Canada. MacLaine's younger brother is the actor, writer, and director Warren Beatty; he changed the spelling of his surname when he became an actor.",Warren Beatty,Warren Beatty.
How many flakes of snow have to fall in the 24 hours of the 25th December anywhere in the UK to be classified as a White christmas?,1; one; One,"How to Live on 24 Hours a Day How to Live on 24 Hours a Day (1910), written by Arnold Bennett, is part of a larger work entitled ""How to Live"". In this volume, he offers droll, practical advice on how one might ""live"" (as opposed to just ""existing"") within the confines of 24 hours a day. In the book, Bennett addressed the large and growing number of white-collar workers that had accumulated since the advent of the Industrial Revolution. In his view, these workers put in eight hours a day, 40 hours a week, at jobs they did not",No specific number exists.,I do not know.
What measurement has been used for the intensity of earthquakes?,Richter's scale; Rare Great earthquake; Richter magnitude scale; Rickter scale; Richter scale; Ricter Scale; Richters scale; Strong earthquake; Local magnitude; Richter Magnitude; Ricter scale; Ritcher Scale; Richter Scale; Great earthquake; Ritcher scale; Richter magnitude; Rare great earthquake; Local magnitude scale; Major earthquake; Richter Magnitude Scale,"2017 Batangas earthquakes The 2017 Batangas earthquakes was an earthquake swarm which occurred from early April to mid August 2017, affecting the Philippine province of Batangas and other nearby areas. The first major earthquake occurred on April 4 at 8:58 PM (PST), with a surface wave magnitude of 5.5 on the coast of Batangas. According to the PHIVOLCS Earthquake Intensity Scale, the earthquake had an intensity of VI (Very Strong). On April 8, more strong earthquakes occurred in the province. PHIVOLCS recorded the strongest earthquake as having a surface wave magnitude of 6.0, which occurred in the afternoon. Another earthquake",Richter scale.,PHIVOLCS Earthquake Intensity Scale.
Which science is the study of the origin of the Universe?,Cosmic images; Geomantiam; Historical cosmology; Cosmological; History of cosmology; Cosmologist; Cosmological theory; Kosmology; Historical cosmologies; Cosmologies; Cosmology; Metaphysical cosmology; Uranology; Philosophical cosmology; Cosmologer; Cosmical; Models of the universe; Cosmological theories; List of historical cosmologies; Cosmology (metaphysics),"The Whole Shebang: A State-of-the-Universe(s) Report The Whole Shebang: A State-of-the-universe(s) Report is a 1997 science book by author Timothy Ferris. In his book he provides a wide-range report of current research on cosmology, the study of the universe, and its trends going into the 21st century. He reports on theories about the possibility that our universe is one among many, the Big Bang theory, Black holes, the ""expanding"" universe, and ""curved"" space. The book has twelve chapters with most of it exploring the Big Bang theory and the mass density of the universe. Ferris is a prizewinning author who",Cosmology,Cosmology.
"Which former international full back was manager of Leeds United when they reached the European Cup Final in 1974-75, before working as a football summariser on BBC radio for over 30 years?",Jimmy Armfield; James Christopher %22Jimmy%22 Armfield; JIMMY ARMFIELD; James Christopher; Christopher Armfield; James Armfield; James Christopher Armfield,"the meeting. Shortly after, an emergency board meeting was held, and in September 1974 Clough was sacked after only 44 days in charge. Clough went on to greater things with Nottingham Forest; of his signings for Leeds, only Duncan McKenzie flourished at the club. "" Runners Up: European Cup (1974/75)"" "" Semi-Finalists: FA Cup (1976/77), League Cup (1977/78)"" Clough was replaced in October 1974 by former England captain Jimmy Armfield, who stabilised the club – Leeds finished 9th in the league – and Revie's old team made one last swansong in the European Cup, reaching the final of the competition",Billy Bremner,Jimmy Armfield
“It’s the way I tell ‘em!” was one of the catchphrases of which comedian?,Hugh Francis Carson; FRANK CARSON; Hugh Carson; Frank Carson,"I Lived to Tell It All I Lived to Tell It All is an album by country music artist George Jones, released on August 13, 1996 on the MCA Nashville Records label. It was also a companion piece to his best-selling autobiography of the same name, ""I Lived to Tell It All"". Coming off his successful reunion tour with ex-wife Tammy Wynette, Jones reunited with producer Norro Wilson to record his sixth album with MCA Nashville. While Jones remained committed to ""pure country"", he worked with the top musicians and songwriters of the day and the quality of his work",Groucho Marx,I do not know.
Which sea is so highly polluted that the Barcelona Convention was set up in 976 to try and clean it up?,Mediterranian; Meditiranean; West Mediterranean; Mare internum; Pollution of the Mediterranean Sea; Mediteranean; Mediterranean sea; Mediterannean Sea; Mediterranian Sea; Miditerranean; Medaterain; Western Mediterranean; Meditaranian; The Med; Meditterranean sea; Mediterrannean Sea; Mediterranean coast; Mediterannean; Mediteranian; Mediterranium sea; Meditarranean; Mediterain; Med sea; Mediterraenian; Overfishing in the Mediterranean Sea; Mediteranean sea; Mediterranea; Mediterranean Countries; Roman Sea; Méditerranean Sea; Tourism in the Mediterranean region; البحر الأبيض المتوسط; البحر المتوسط; Mediteranean Sea; Sea of Mediterranea; Mediterranean; Medditeranean; Medeterain; Mediterranean Sea; Mediterrannean; Mediterranean Ocean; Roman Mediterranean,"within their own territory. Barcelona Convention The Convention for the Protection of the Marine Environment and the Coastal Region of the Mediterranean, originally the Convention for Protection of the Mediterranean Sea against Pollution, and often simply referred to as the Barcelona Convention, is a regional convention adopted in 1976 to prevent and abate pollution from ships, aircraft and land based sources in the Mediterranean Sea. This includes but is not limited to dumping, run-off and discharges. Signers agreed to cooperate and assist in dealing with pollution emergencies, monitoring and scientific research. The convention was adopted on 16 February 1976 and",Mediterranean Sea,Mediterranean Sea.
The spy who became known as Mata Hari was born in which European country in 1876 ?,HOLLAND / NETHERLANDS,"in March 2016; and ""One Last Night with Mata Hari"", written by Craig Walker with music by John Burge, debuted at the Isabel Bader Centre for the Performing Arts, in Kingston, Ontario, in January 2017. In February 2016 the Dutch National Ballet premiered a 2 Act ballet entitled 'Mata Hari' with Anna Tsygankova dancing the role of Mata Hari, choreography by Ted Brandsen and music by Tarik O'Regan. In 2017, the opera ""Mata Hari"" by librettist Peter Peers and composer Matt Marks premiered at New York's Prototype Festival. In August 2018, it was also produced by West Edge Opera, with",Netherlands,I do not know.
Which American writer shot and killed his ex-wife during a drunken party game in Mexico City in 1951?,"William Seward Burroughs II; Burroughs, William S.; Wiliam s burroughs; William Seward Burroughs, II; William Burroughs; WILLIAM S. BURROUGHS; W. S. Burroughs; William burrough; Ilse Klapper; William S. Burroughs, Sr.; William S Burroughs; Burroughsian; W.S. Burroughs; Bill Burroughs; William S. Burroughs","formed by Korean American hip hop group Drunken Tiger and Dynamic Duo/CB Mass. In 2009, EXP supported and performed for Relay for Life (American Cancer Society) event in East Village, New York. EXP is a fan of Mixed Martial Arts. He is a practitioner of Russian Martial Arts Sambo (martial art) and holds 5th Dan (Godan) Black belt in Aikido. In July 2014, EXP announced his involvement in upcoming horror movie ""Vamp Bikers DOS"". The movie also featured Melle Mel and Grandmaster Caz. Ex-plicit linez Brandon Jermaine Yun, better known by his stage name EXP (pronounced ""e-ex-pee""), formerly EX-PLICIT LINEZ,",Ernest Hemingway,I do not know.
The ‘Shuttlecock Club’ is an exclusive society for anyone who has crashed and survived on which racing track?,Cresta run; The Cresta Run; The Cresta Club; Cresta Run; St. Moritz Tobogganing Club; Shuttlecock Club; Cresta rider; Cresta Sledding,"Dennis Summerhill Lecture Award for a junior researcher, and summer studentships for undergraduate studentships. British Society for Developmental Biology The British Society for Developmental Biology (BSDB) is a scientific society promoting developmental biology. It is open to anyone with an interest in the subject. The British Society for Developmental Biology was founded in 1948 as the London Embryologists’ Club. In 1964 it was expanded from a club into a scientific society named the Society for Developmental Biology. However in 1964 the Society for the Study of Growth and Development in the United States had also voted to change to the",Silverstone,I do not know.
