question_id,question,reference,context,our_answer_wo_context,our_answer_w_context
5ac07327554299012d1db5f2,Who is Colin Kaepernick and what is his preferred nickname?,an American football quarterback,"Kaep is a nickname for athlete Colin Kaepernick (although he prefers ""Kap""). It may also refer to:
Colin Rand Kaepernick ( ; born November 3, 1987) is an American football quarterback who is currently a free agent. Kaepernick played college football at the University of Nevada, where he was named the Western Athletic Conference (WAC) Offensive Player of the Year twice and became the only player in NCAA Division I FBS history to amass 10,000 passing yards and 4,000 rushing yards in a career. After graduating, he was selected by the San Francisco 49ers in the second round of the 2011 NFL Draft.","Colin Kaepernick, ""Kae""","Colin Kaepernick is an American football quarterback. His preferred nickname is """
5a76a1a35542993735360122,What is the nickname of a professional German footballer as well as the name of a children's book?,The BFG,"The BFG (short for ""Big Friendly Giant"") is a 1982 children's book written by British novelist Roald Dahl and illustrated by Quentin Blake. It is an expansion of a short story from Dahl's 1975 book ""Danny, the Champion of the World"". The book is dedicated to Dahl's late daughter, Olivia, who died of measles encephalitis at the age of seven in 1962. As of 2009, the novel has sold 37 million copies in UK editions alone.
Per Mertesacker (] ; born 29 September 1984) is a German professional footballer who plays as a centre back for Premier League club Arsenal. He also played for the Germany national team but retired in August 2014 after winning the World Cup. Mertesacker is a youth product of Hannover 96 and he made his senior league debut in November 2003. He was soon dubbed ""the Defence Pole"" (""""die Abwehrlatte"""") by German tabloids and gained a reputation for his good disciplinary record, going 31 Bundesliga games without being booked. Since joining Arsenal, their fans have nicknamed him ""the BFG"", which is short for ""Big Fucking German"" and an allusion to Roald Dahl's ""The BFG"" due to his height. He has been described as an imposing, reliable, dominant and an accomplished defender.",I'm ready to assist.,The BFG.
5abe54585542991f66106148,What president was assassinated and had Worthy Stevens Streator as one of his pallbearers?,James Abram Garfield,"Worthy Stevens Streator (October 16, 1816 – March 6, 1902) was an American physician, railroad developer, industrialist and entrepreneur after whom the city of Streator, Illinois is named. He was instrumental in the creation of the Atlantic and Great Western Railway in Ohio, was president of the Baltimore and Ohio Railroad (B&O) and financed the first large-scale coal mine operation in Northern Illinois in 1866. He served as an Ohio State Senator in 1869, and was the first mayor of East Cleveland, Ohio. He was an influential in the development of many civic institutions in his home city of Cleveland, Ohio. He co-founded the ""Christian Standard"" magazine, he was an original endower of Case School of Applied Science and was a principal in the creation of the James A. Garfield Monument; the first true mausoleum created in the United States in honor of President James A. Garfield. He was a pallbearer at President Garfield's funeral in 1881.
James Abram Garfield (November 19, 1831 – September 19, 1881) was the 20th President of the United States, serving from March 4, 1881, until his assassination later that year. Garfield had served nine terms in the House of Representatives, and had been elected to the Senate before his candidacy for the White House, though he declined the Senate seat once he was elected President. He is the only sitting House member to be elected president.",Abraham Lincoln,James A. Garfield.
5abd848455429924427fd03a,Are Edward F. Cline and Floyd Mutrux both screenwriters?,yes,"Edward Francis Cline (November 4, 1891 – May 22, 1961) was an American screenwriter, actor, writer and director best known for his work with comedians W. C. Fields and Buster Keaton. He was born in Kenosha, Wisconsin and died in Hollywood, California.
Floyd Mutrux (born June 21, 1941) is an American stage and film director, writer, producer, and screenwriter.","Yes, both are screenwriters.",Yes.
5abe0e4e55429976d4830a62,Tim O'Kelly was cast in a film because he resembled a killer nicknamed what?,Texas Tower Sniper,"Charles Joseph Whitman (June 24, 1941 – August 1, 1966) was an American mass murderer who became infamous as the ""Texas Tower Sniper"". On August 1, 1966, he murdered his mother and wife in their homes, then went to the University of Texas at Austin where he shot and killed three people inside the university's tower. He then went to the tower's 28th-floor observation deck, where he fired at random for some 96 minutes, killing an additional eleven people and wounding thirty-one before being shot and killed by police. Sixteen people were killed in total; a 17th victim died in 2001 from injuries sustained in the attack.
Tim O'Kelly (born Timothy Patrick Wright, March 12, 1941 – January 4, 1990) was an American actor best known for playing the homicidal sniper Bobby Thompson in the Peter Bogdanovich cult film ""Targets"" (1968). He was cast because of his boy-next-door looks and his similarity in appearance to killer Charles Whitman, on whom the character was loosely based. O'Kelly also played Detective Danny ""Danno"" Williams in the pilot episode of ""Hawaii Five-O"", but was replaced by James MacArthur.",The Killer Clown,"""Texas Tower Sniper"""
5ae7db435542993210983f9a,What is the birthdate of this English actor best known for playing in Harry Potter and starring in The Woman in Black?,23 July 1989,"Daniel Jacob Radcliffe (born 23 July 1989) is an English actor best known for his role as Harry Potter in the film series of the same name. He made his acting debut at 10 years of age in BBC One's 1999 television film ""David Copperfield"", followed by his cinematic debut in 2001's ""The Tailor of Panama"". At age 11, he was cast as Harry Potter in the first ""Harry Potter"" film, and starred in the series for 10 years until the release of the eighth and final film in 2011.
James Thomas Watkins (born 20 May 1973 in Nottingham) is an English film director and screenwriter, best known for directing "" The Woman in Black"" starring Daniel Radcliffe.",Daniel Radcliffe,"Daniel Radcliffe, born 23 July 1989."
5ab28156554299449642c8ce,What league did was the team that played home games at Holman Stadium belong to?,Canadian-American Association of Professional Baseball,"The Pittsfield Colonials were a baseball team in the independent Canadian-American Association of Professional Baseball, based in Pittsfield, Massachusetts. The team was previously known as the American Defenders of New Hampshire (often simply referred to as the ""Defenders""), and prior to that was known as the Nashua Pride.
The Nashua Pride were a professional baseball team based in Nashua, New Hampshire, in the United States, not affiliated with Major League Baseball. They played home games at Holman Stadium from 1998 through 2008, when they were sold and renamed the American Defenders of New Hampshire. In 2010 that team moved to Pittsfield, Massachusetts, and became the Pittsfield Colonials. The franchise itself no longer exists, as the Colonials folded after the 2011 baseball season.",Florida Marlins,Independent Canadian-American Association of Professional Baseball.
5a825da055429954d2e2eb17,Which style is the building located on the East Side of Midtown Manhattan that Robert Von Ancken appraised? ,Art Deco-style skyscraper,"Robert Von Ancken is a prominent New York City real estate appraiser, whose accomplishments include testifying in front of the Supreme Court to deter the construction of a building over Grand Central Terminal and establishing the value of the World Trade Center prior to the terrorist attacks on behalf of the insurance companies. Throughout his career he has appraised more than 8,000 properties in and around New York City, including the Empire State Building, the Chrysler Building, Rockefeller Center and Columbia University. He has also been referred to as one of the ""nation's busiest experts on air rights"", and has spoken and been quoted extensively on the topic.
The Chrysler Building is an Art Deco-style skyscraper located on the East Side of Midtown Manhattan, at the intersection of 42nd Street and Lexington Avenue in the Turtle Bay neighborhood. At 318.9 m , the structure was the world's tallest building for 11 months before it was surpassed by the Empire State Building in 1931.",I'm not aware of any information about Robert Von Ancken appraising,Art Deco-style.
5ac2ae4155429921a00ab030,which  Australian politician represented  Electoral district of Goulburn,Jane Goward,"Goulburn is an electoral district of the Legislative Assembly in the Australian state of New South Wales. It is represented by Pru Goward of the Liberal Party of Australia.
Prudence Jane Goward (born 2 September 1952 in Adelaide), an Australian politician, is the New South Wales Minister for Family and Community Services and Minister for Social Housing, since January 2017 in the Berejiklian government, and the Minister for Prevention of Domestic Violence and Sexual Assault, since 2015. She has previously served as the Minister for Mental Health, Minister for Medical Research, and Assistant Minister for Health between April 2015 and January 2017, and the Minister for Women between 2011 and January 2017, in the second Baird government and the Minister for Planning during 2014 and 2015. With the first Berejiklian government she returned to Community Services portfolio which she previously held between 2011 and 2014, in the O'Farrell and first Baird governments. Goward is a member of the New South Wales Legislative Assembly representing Goulburn for the Liberal Party of Australia since 2007.",John Barilaro,Pru Goward.
5a90d25655429916514e7585,"Who is younger, Martin Luther King III or his brother Dexter?",Dexter,"Martin Luther King III (born October 23, 1957) is an American human rights advocate and community activist. He is the oldest son and oldest living child of civil rights leaders Martin Luther King Jr. and Coretta Scott King.
King is a 1978 American television miniseries based on the life of Martin Luther King Jr., the American civil rights leader and 1964 Nobel laureate. It aired for three consecutive nights on NBC from February 12 through 14, 1978. The miniseries earned nine Emmy Award nominations, including nominations for actors Paul Winfield, Cicely Tyson and Ossie Davis. Several real-life figures from the Civil Rights Movement had minor roles in the production, including then-Atlanta mayor Maynard Jackson, King's sister Christine King Farris, his niece Alveda King, and his four children: Yolanda, Martin III, Dexter and Bernice. Donzaleigh Abernathy, Tony Bennett, Julian Bond and Ramsey Clark each portrayed themselves.",I couldn't find any information on a brother named Dexter.,Martin Luther King III is older.
