context,question,golden_answer,our_answer_without_context,our_answer_with_context,entropy_without_context,entropy_with_context,clean_entropy_without_context,clean_entropy_with_context,token_sar_without_context,token_sar_with_context,cotype_is_correct_without_context,cotype_is_correct_with_context,chatgpt_is_correct_without_context,chatgpt_is_correct_with_context,is_lack_of_info_without_context,is_lack_of_info_with_context
"The Truman Doctrine was an American foreign policy created to counter Soviet geopolitical expansion during the Cold War . It was first announced to Congress by President Harry S. Truman on March 12 , 1947 and further developed on July 12 , 1948 when he pledged to contain Soviet threats to Greece and Turkey . American military force was usually not involved , but Congress appropriated free gifts of financial aid to support the economies and the militaries of Greece and Turkey . More generally , the Truman Doctrine implied American support for other nations threatened by Soviet communism . The Truman Doctrine became the foundation of American foreign policy , and led , in 1949 , to the formation of NATO , a military alliance that is still in effect . Historians often use Truman 's speech to date the start of the Cold War .",what did the u.s. policy called the truman doctrine promise to do,created to counter Soviet geopolitical expansion during the Cold War,"The Truman Doctrine, announced by President Harry S. Truman in 1947, promised to provide economic and military aid to countries threatened by communism.",The Truman Doctrine promised to contain Soviet threats to Greece and Turkey.,0.3936,0.4015,0.3973,0.3337,0.174,0.1353,1.0,1.0,1.0,1.0,0,0
"The Dark Tower Theatrical release poster Directed by Nikolaj Arcel Produced by Akiva Goldsman Ron Howard Erica Huggins Screenplay by Akiva Goldsman Jeff Pinkner Anders Thomas Jensen Nikolaj Arcel Based on The Dark Tower by Stephen King Starring Idris Elba Matthew McConaughey Tom Taylor Claudia Kim Fran Kranz Abbey Lee Jackie Earle Haley Music by Tom Holkenborg Cinematography Rasmus Videbæk Edited by Alan Edward Bell Dan Zimmerman Production company MRC Imagine Entertainment Weed Road Distributed by Columbia Pictures Release date July 31 , 2017 ( 2017 - 07 - 31 ) ( Museum of Modern Art ) August 4 , 2017 ( 2017 - 08 - 04 ) ( United States ) Running time 95 minutes Country United States Language English Budget $60 million Box office $107.1 million",who wrote the screenplay for the dark tower,Akiva Goldsman Jeff Pinkner Anders Thomas Jensen Nikolaj Arcel,"The screenplay for the 2017 film ""The Dark Tower"" was written by Akiva Goldsman, Jeff Pinkner, Anders Thomas Jensen, and Nikolaj Arcel.","Akiva Goldsman, Jeff Pinkner, and Anders Thomas Jensen co-wrote the screenplay for the 2017 film ""The Dark Tower"".",0.3243,0.3363,0.2376,0.2832,0.0623,0.1727,1.0,1.0,1.0,0.5,0,0
"This article lists the fifty most - subscribed channels on the video platform YouTube . The ability to `` subscribe '' to a user 's channel was added to YouTube by late October 2005 , and the `` most subscribed '' list on YouTube began as a chart by May 2006 , at which time Smosh was number one with fewer than three thousand subscribers . Since December 22 , 2013 , the most subscribed user has been PewDiePie , whose channel has over 60 million subscribers as of February 2018 .",who has the most subscribers in you tube,PewDiePie,"As of my cut-off knowledge date (December 2023), the top 5 most subscribed YouTube channels are:

1. T-Series - over 250 million subscribers
2. MrBeast (Jimmy Donaldson) - over 200 million subscribers
3. PewDiePie (Felix Kjellberg) - over 110 million subscribers
4. Dude Perfect - over 80 million subscribers
5. Ryan ToysReview - over 70 million subscribers",PewDiePie,0.2451,0.1948,0.2715,0.1948,0.1315,0.0115,0.5,1.0,0.5,1.0,0,0
"The San Luis Valley is a region in south - central Colorado with a small portion overlapping into New Mexico . It is the headwaters of the Rio Grande . It contains 6 counties and portions of 3 others . The valley was ceded to the United States by Mexico following the Mexican -- American War . Hispanic settlers began moving north and settling in the valley after the United States made a treaty with the Utes and established a fort . Prior to the Mexican war the Spanish and Mexican governments had reserved the valley to the Utes , their allies . During the 19th century Anglo settlers settled in the valley and engaged in mining and irrigated agriculture . Today the valley has a diverse Anglo and Hispanic population .",where is the san luis valley in colorado,south - central Colorado with a small portion overlapping into New Mexico,"The San Luis Valley is located in southern Colorado, USA.","The San Luis Valley is located in south-central Colorado, with a small portion overlapping into New Mexico.",0.394,0.2693,0.4626,0.1976,0.308,0.1183,1.0,1.0,0.5,1.0,0,0
"Gastric acid , gastric juice or stomach acid , is a digestive fluid formed in the stomach and is composed of hydrochloric acid ( HCl ) , potassium chloride ( KCl ) and sodium chloride ( NaCl ) . The acid plays a key role in digestion of proteins , by activating digestive enzymes , and making ingested proteins unravel so that digestive enzymes break down the long chains of amino acids . Gastric acid is produced by cells in the lining of the stomach , which are coupled in feedback systems to increase acid production when needed . Other cells in the stomach produce bicarbonate , a base , to buffer the fluid , ensuring that it does not become too acidic . These cells also produce mucus , which forms a viscous physical barrier to prevent gastric acid from damaging the stomach . The pancreas further produces large amounts of bicarbonate and secretes bicarbonate through the pancreatic duct to the duodenum to completely neutralize any gastric acid that passes further down into the digestive tract .",what is the acid in the stomach called,"Gastric acid , gastric juice or stomach acid",The acid in the stomach is hydrochloric acid (HCl).,Hydrochloric acid (HCl),0.3071,0.3508,0.2483,0.2741,0.1856,0.1963,1.0,1.0,0.5,0.5,0,0
"Toner is a powder mixture used in laser printers and photocopiers to form the printed text and images on the paper , in general through a toner cartridge . Mostly granulated plastic , early mixtures only added carbon powder and iron oxide , however mixtures have since been developed containing polypropylene , fumed silica , and various minerals for triboelectrification . Toner using plant - derived plastic also exists as an alternative to petroleum plastic . Toner particles are melted by the heat of the fuser , and are thus bonded to the paper .",what is needed for the complete application of toner to paper,heat,"To apply toner to paper, the following are typically needed:

1. Toner
2. Toner cartridge or toner container
3. Printer (specifically, a laser printer or an inkjet printer with toner capabilities)
4. Paper","For the complete application of toner to paper, the following are needed:

1. Toner
2. Heat from the fuser",0.7091,0.527,0.6895,0.3371,0.2728,0.2104,0.5,1.0,0.0,0.5,0,0
"Philadelphia Eagles Current season Established July 8 , 1933 ; 84 years ago ( July 8 , 1933 ) First season : 1933 Play in Lincoln Financial Field Philadelphia , Pennsylvania Headquartered in the NovaCare Complex Philadelphia , Pennsylvania Logo Wordmark League / conference affiliations National Football League ( 1933 -- present ) Eastern Division ( 1933 -- 1949 ) American Conference ( 1950 -- 1952 ) Eastern Conference ( 1953 -- 1969 ) Capitol Division ( 1967 -- 1969 ) National Football Conference ( 1970 -- present ) NFC East ( 1970 -- present ) Current uniform Team colors Midnight green , Silver , Black , White Fight song Fly , Eagles Fly Mascot Swoop Personnel Owner ( s ) Jeffrey Lurie Christina Weiss Lurie Chairman Jeffrey Lurie CEO Jeffrey Lurie President Don Smolenski General manager Howie Roseman Head coach Doug Pederson Team history Philadelphia Eagles ( 1933 -- 1942 ; 1944 -- present ) Phil - Pitt `` Steagles '' ( 1943 ) Team nicknames The Birds Championships League championships ( 4 ) NFL championships ( pre-1970 AFL -- NFL merger ) ( 3 ) 1948 , 1949 , 1960 Super Bowl championships ( 1 ) 2017 ( LII ) Conference championships ( 4 ) NFL Eastern : 1960 NFC : 1980 , 2004 , 2017 Division championships ( 13 ) NFL East : 1947 , 1948 , 1949 NFC East : 1980 , 1988 , 2001 , 2002 , 2003 , 2004 , 2006 , 2010 , 2013 , 2017 Playoff appearances ( 25 ) NFL : 1947 , 1948 , 1949 , 1960 , 1978 , 1979 , 1980 , 1981 , 1988 , 1989 , 1990 , 1992 , 1995 , 1996 , 2000 , 2001 , 2002 , 2003 , 2004 , 2006 , 2008 , 2009 , 2010 , 2013 , 2017 Home fields Baker Bowl ( 1933 -- 1935 ) Philadelphia Municipal Stadium ( 1936 -- 1939 , 1941 ) Connie Mack Stadium ( 1940 , 1942 -- 1957 ) Franklin Field ( 1958 -- 1970 ) Veterans Stadium ( 1971 -- 2002 ) Lincoln Financial Field ( 2003 -- present )",when was the last superbowl the eagles went to,2017,The Philadelphia Eagles last appeared in Super Bowl in 2023.,The last Super Bowl the Eagles went to was Super Bowl LII (52) in 2018.,0.655,0.4416,0.4408,0.3585,0.1465,0.1717,0.0,1.0,1.0,0.5,0,0
"Romeo and Juliet , TH 42 , ČW 39 , is an orchestral work composed by Pyotr Ilyich Tchaikovsky . It is styled an Overture - Fantasy , and is based on Shakespeare 's play of the same name . Like other composers such as Berlioz and Prokofiev , Tchaikovsky was deeply inspired by Shakespeare and wrote works based on The Tempest and Hamlet as well .",who wrote the music to romeo and juliet,Pyotr Ilyich Tchaikovsky,The music to Romeo and Juliet was composed by Nino Rota.,Pyotr Ilyich Tchaikovsky,0.6798,0.3645,0.676,0.4046,0.1481,0.1354,0.0,1.0,0.0,1.0,0,0
"Fender is the American English term for the part of an automobile , motorcycle or other vehicle body that frames a wheel well ( the fender underside ) . Its primary purpose is to prevent sand , mud , rocks , liquids , and other road spray from being thrown into the air by the rotating tire . Fenders are typically rigid and can be damaged by contact with the road surface . Instead , flexible mud flaps are used close to the ground where contact may be possible .",where is the fender located on a car,frames a wheel well,"The fender is located on a car at the front and rear, specifically:

- Front fender: Along the front of the car, on either side of the front wheel wells.
- Rear fender: Along the rear of the car, on either side of the rear wheel wells.","The fender is located on a car at the wheel well, specifically on the underside of the vehicle.",0.6744,0.869,0.5597,0.5961,0.308,0.3644,1.0,1.0,1.0,0.5,0,0
"`` I Vow to Thee , My Country '' is a British patriotic hymn , created in 1921 , when a poem by Sir Cecil Spring Rice was set to music by Gustav Holst .",who composed i vow to thee my country,Gustav Holst,"""I Vow to Thee, My Country"" is a hymn written by Cecil Frances Alexander.","The composer of ""I Vow to Thee, My Country"" is Gustav Holst.",0.7194,0.4687,0.8779,0.3157,0.4835,0.2184,0.5,1.0,0.0,1.0,0,0
